-0.10458,-0.585426,-0.803953
0.302691,-0.510191,0.106251
0.454777,-1.38228,-0.358855
0.301885,-0.812135,-1.16604
0.296285,-0.539261,-0.20401
-0.121362,-1.18813,-0.840048
0.622186,-1.50973,-0.253785
-0.242828,-1.02392,-0.379235
-0.897034,-1.76682,-0.521052
0.0880979,-1.93604,-0.491395
0.805238,-2.30663,0.0988385
0.840217,-2.37995,1.09553
1.02699,-3.02912,1.83289
0.313321,-2.33185,1.89999
-0.418844,-1.91299,2.4371
-0.949799,-2.21201,3.22998
-1.89207,-2.1445,3.55794
-2.74121,-2.15467,3.02987
-2.08392,-1.4394,2.79246
-1.37601,-0.826632,3.14369
-1.36249,-1.82552,3.09847
-1.68879,-2.77074,3.10733
-1.23047,-1.95232,2.76073
-1.83312,-2.74073,2.63731
-2.61639,-2.19887,2.33255
-2.30859,-3.14875,2.3873
-1.74822,-3.00508,1.57162
-1.32691,-3.45469,2.35924
-2.31941,-3.55157,2.4338
-2.33138,-2.76273,3.04827
-2.33452,-2.00614,3.70216
-1.68574,-1.89781,4.45539
-1.89295,-1.72141,5.41765
-2.26389,-2.25082,4.65468
-1.90017,-1.98449,3.76206
-2.27531,-2.5924,3.06227
-2.09949,-2.58281,2.0779
-1.82811,-2.13211,1.22747
-0.876048,-2.37852,1.40872
-1.56647,-2.38724,0.685365
-1.5264,-1.82306,1.51004
-1.0754,-2.44344,2.15171
-1.39795,-3.26226,2.62657
-2.33205,-2.99134,2.85905
-1.80667,-2.90671,3.70569
-1.00004,-3.05604,4.27758
-0.232922,-2.41658,4.32878
-0.906491,-3.08349,4.01013
-0.550755,-3.67512,3.28664
-1.52005,-3.85647,3.12057
-2.39207,-3.46149,3.40963
-2.85173,-3.01025,2.64471
-2.63714,-2.47373,1.82856
-1.70642,-2.69522,1.53754
-2.66336,-2.41041,1.59358
-2.00977,-2.34869,2.34791
-2.40451,-3.0811,2.90267
-2.38781,-4.05019,3.14882
-2.11322,-4.13091,2.19065
-2.39581,-3.92361,3.12722
-1.94017,-3.35965,2.4385
-1.43837,-3.53283,1.59102
-1.32554,-3.13792,0.679261
-0.782345,-3.2236,-0.155965
0.19471,-3.42773,-0.216767
0.984463,-2.83031,-0.0775343
1.30575,-3.65079,0.395315
1.50814,-3.49806,1.36264
1.76728,-3.40122,0.401666
2.43949,-3.41444,-0.33858
2.91741,-2.60866,0.0111379
2.52897,-1.69184,0.103587
2.58809,-0.696563,0.0266083
1.8582,-1.17147,0.518272
1.93993,-1.5515,1.43963
2.39143,-0.659518,1.41703
3.01154,-0.276634,0.732288
3.2163,0.638472,0.384937
2.57439,1.13119,-0.202582
2.95153,0.253342,0.0926142
2.42031,-0.54972,0.362614
2.05855,-1.15783,1.06925
1.6845,-0.401738,1.60629
2.1005,-1.26398,1.89524
2.54778,-1.92053,2.5026
3.29794,-1.65512,3.10825
3.72233,-1.78467,4.00442
3.71379,-0.814852,3.76073
4.54774,-0.648915,3.23444
3.72228,-1.21269,3.26235
3.44024,-0.33363,2.87803
3.40522,-0.899574,3.70173
2.40816,-0.934593,3.76985
2.51522,0.017151,3.48224
1.90147,-0.569673,4.01038
1.68456,-0.335074,3.0628
2.12785,-1.22131,3.19725
2.96543,-0.904276,2.75233
3.50337,-1.68203,3.07746
3.66945,-1.95949,4.02374
