#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.461662   -0.461662           0
           2   -0.460361   -0.461011 0.000460143
           3   -0.464341   -0.462121 0.000956587
           4    -0.46353   -0.462473 0.000779552
           5   -0.463099   -0.462598 0.000633605
           6   -0.462381   -0.462562 0.000529035
           7   -0.463389    -0.46268  0.00046645
           8   -0.462788   -0.462694 0.000408336
           9   -0.463855   -0.462823 0.000382819
          10   -0.460458   -0.462586 0.000411153
          11   -0.464084   -0.462722 0.000395671
          12    -0.46452   -0.462872 0.000390028
          13   -0.463733   -0.462938 0.000365602
          14   -0.461752   -0.462854 0.000349174
          15   -0.462248   -0.462813 0.000328221
          16   -0.464291   -0.462906 0.000320441
          17   -0.462218   -0.462865 0.000304137
          18   -0.462633   -0.462852 0.000287514
          19   -0.464222   -0.462924 0.000281271
          20   -0.461015   -0.462829 0.000282943
